Index,Text,Grade,Type,bert.2.pred,bert.2.prob.1,bert.2.prob.2,bert.2.prob.3,bert.2.prob.4,bert.2.prob.5
6412,"Partnerships are businesses owned by two or more people. A contract called a deed of partnership is normally drawn up. This states the type of partnership it is, how much capital each party has contributed, and how profits and losses will be shared. Doctors, dentists and solicitors are typical examples of professionals who may go into partnership together. They can benefit from shared expertise, but like the sole trader, have unlimited liability. A partnership can also have a
Someone who invests capital into a business, but plays no part in the running of it.
who invests in the business but does not have dealings in the day to day running of the enterprise.
The main advantage of a partnership over a sole trader is shared responsibility. This allows for
Performing tasks related to your particular skills of expertise.
, where one partner's strengths can complement another's. For example, if a hairdresser were in partnership with someone with a business background, one could concentrate on providing the salon service, and the other on handling the finances.
More people are also contributing capital, which allows for more flexibility in running the business.
There is less time pressure on individual partners.
There is someone to consult over business decisions
The main disadvantage of a partnership comes from shared responsibility.
Disputes can arise over decisions that have to be made, or about the effort one partner is putting into the firm compared with another.
The distribution of profits can cause problems. The deed of partnership sets out who should get what, but if one partner feels another is not doing enough, there can be dissatisfaction.
A partnership, like a sole trader, has
Owners are personally liable for all debts.
Get down to business and discuss Business Studies here.
Losing your way? Make a Bitesize revision map!
For news that really does the business!


",4,BitGCSE,4,0.010949927382171154,0.010717133060097694,0.011377071030437946,0.07160782814025879,0.8953480124473572
5597,"The importance of war for Roman medicine
The need for a healthy army led Romans to think about public health.
The capture of slaves brought Greek doctors to Rome.
The Roman army developed some of the earliest hospitals.
Anatomical and surgical skill developed as army doctors treated war wounds.
Fed up with reading? Give your ears a treat and listen to some History audio.
All things historic - from ancient to modern.


",4,BitGCSE,4,0.019834192469716072,0.01667502522468567,0.01772247813642025,0.07955202460289001,0.866216242313385
6425,"Catherine also has some news: she tells Eddie that she has been picked out of all the girls in her typing class to be offered a well-paid job at a big plumbing company. She is excited at the prospect, but Eddie is worried: he doesn't want her mixing with strangers, wants her to finish her education and is concerned for her safety. Beatrice takes Catherine's side, however, so in the end Eddie relents and allows Catherine to take the job.
Because the cousins are illegal immigrants, Eddie reminds Beatrice and Catherine not to mention them outside the house. To reinforce the danger, Eddie tells the story of Vinny Bolzano, who let on to the Immigration authorities that his family were hiding an uncle - and the bloody consequences.
Back to A View from the Bridge index
Get some direction with a Bitesize revision map
Get creative, get published and get expert writing advice at BBC Blast.


",4,BitGCSE,4,0.022982686758041382,0.03707009181380272,0.04814344644546509,0.14262811839580536,0.7491756081581116
2254,"Deposits laid down by ice are called till or boulder clay which is an assortment of material of various shapes and sizes. Boulder clay can be found in areas of the UK such as Lincolnshire and East Anglia. It is easily eroded, and is one reason why the Holderness coast is so vulnerable to wave attack.
Unlike river deposits that are often sorted into different sizes, all glacial deposits are angular and mixed up (unsorted). The extreme of this can be seen in
. These are large rocks or boulders that are often found on their own, rather than in piles. They are unusual shapes, unusually large and of a rock type uncommon to the area they have been dumped, eg the Norber erratic.
Vale of Eden in the Lake District
are elongated hills of glacial deposits. They can be one kilometre long and 500 metres wide, often occurring in groups. A group of drumlins is called a drumlin swarm or a basket of eggs, eg Vale of Eden. These would have been part of the debris that was carried along and then accumulated under the ancient glacier. The long axis of the drumlin indicates the direction in which the glacier was moving. The drumlin would have been deposited when the glacier became overloaded with sediment. However glaciologists still disagree as to exactly how they were formed.
Back to Glacial landscapes and processes index
Deliver key Geographic sound bites direct to your ear!
News, issues and opinions from all around the UK.


",4,BitGCSE,4,0.01296018622815609,0.01843968778848648,0.023430554196238518,0.09104842692613602,0.8541211485862732
6736,"The factors surrounding a text which help us to understand it; the background events which help to explain something.
you will need to know a little bit about the author: an English Catholic priest who (like Whitman, at about the same time) developed a radically original approach to the
Gerard Manley Hopkins was born in 1844, the eldest of nine children, and quickly proved himself to be highly gifted. He won a scholarship to Oxford, where he earned a double-first class honours degree.
He was a committed Christian and became a Jesuit priest, but became exhausted after working in several parishes all over Britain. When Hopkins was 40, he was appointed professor of Greek and Latin at University College, Dublin.
He loved writing, but found it hard to be a poet and serve God at the same time: when he first became a priest he stopped writing and destroyed his earlier work. Hopkins was inspired to start again in 1875 when he heard about the terrible shipwreck which inspired his great poem
. Thereafter, he produced quite a large body of uniquely individual work.
Hopkins' poetry was neither appreciated or published in his lifetime. A Jesuit magazine to which he submitted some of his poems turned them down. And only a handful of friends who read his work gave him any encouragement. He died of typhoid in 1889, aged 45.
His poems were often in praise of God, celebrating God's glory through His works. He believed that God's goodness could be seen through the natural world.
He was a priest for a short while in Glasgow in 1881, so it was perhaps then that he travelled in Scotland and saw (and sketched) the stream which inspired this poem. Inversnaid is in the Scottish Highlands, overlooking Loch Lomond.
",4,BitGCSE,4,0.0765475332736969,0.20005768537521362,0.31508511304855347,0.06143715977668762,0.346872478723526
7554,"Methods of diagnosis changed massively during the 20th century.X-rays, CAT scans, MRI imaging, ultrasound scans, endoscopy etc, together with histology and biopsies, started to allow
of most illnesses as the century progressed. Treatments had to keep up with all the information, so
Premature baby in an incubator, attached to electrodes that monitor its heartbeat
The list of treatments that finally started to help people cure disease and health problems is a long one. Here are some of the main discoveries:
allowed doctors to prescribe vitamin supplements, which cured beriberi, rickets, pernicious anaemia and pellagra.
. They could not cure diabetes, but they were able to alleviate its results. Today, doctors use hormone treatments to correct thyroid problems, help children grow, improve sexual performance and shrink cancers.
In 1932, the German scientist Gerhard Domagk discovered that a coal tar product (a sulphonamide called prontosil) killed streptococci bacteria. Other
were discovered which could cure pneumonia, meningitis and acne.
During the Second World War, Florey and Chain learned how to mass-produce penicillin - discovered (by chance) in 1928 by the Scottish bacteriologist Alexander Fleming - the
. Now, doctors could effectively cure acute infectious disease (although misuse of antibiotics has led to the development of drug-resistant strains of killer diseases such as TB and the MRSA hospital superbug).
The work of Peter Medawar (1950s: Britain) on immuno-suppressants led to the development of
, which prevents allergies and operative shock.
) were able to prevent pregnancy, and after the 1970s (through IVF) to help childless women become pregnant (although side effects of the contraceptive pill are thromboses, migraine and jaundice). In 2005, a 66-year-old Romanian woman gave birth to twins.
In the 1950s, doctors used the drug
to treat morning sickness during pregnancy. It caused terrible deformities in babies, but today is used in the treatment of AIDS, leprosy and some cancers.
In 1952, the Danish surgeon Christian Hamburger used large doses of
and surgical operations to change the sex of George Jorgenson, an American army vet, who returned to the US as Christine.
In 1954, Joseph Salk (America) discovered a
, which helped eradicate polio from the western world in the 20th century, and which may make it extinct worldwide early in the 21st century.
Doctors started using technology - such as
- to help patients. In 2002, American surgeons implanted electrodes connected to a miniature computer into the visual cortex of a blind man. Using a video camera mounted on his glasses, he was able to 'see' well enough to drive a car.
Fed up with reading? Give your ears a treat and listen to some History audio.
All things historic - from ancient to modern.


",4,BitGCSE,4,0.048742007464170456,0.12050309032201767,0.3862639367580414,0.04439650475978851,0.4000943899154663
673,"Look at each of the characters featured here and jot down some key points about them. What are they like? What part do they play in the story? How does the narrator feel about them?
The main character in the story is the
The teller of a story; the 'voice' in a text that describes or narrates the events of the plot; either a character in the story, or an authorial voice who relates but takes no part in events.
- yet we do not even know her name.
A text written by a person of unknown name or identity.
. This gives her a sense of mystery. It also gives us a sense of intimacy with her. You may be tempted to think of the narrator as Sylvia Plath as a young girl, but you should resist this. This is fiction, not an
A text recounting the writer's own life.
At the start of the story, she lives in her own, intense dream world. She is fascinated by flying, and almost believes Superman could teach her to fly. She also plays superman games with her friend David.
Her father has died and she idealises her Uncle Frank. Superman and Uncle Frank are bound together in her mind.
Gradually, she becomes affected by the war. She is physically sick when she sees graphic pictures of the horrors of the prisoner-of-war camps. Superman cannot save her from her nightmares.
She is at first powerless when accused by Paula Brown, then becomes isolated and a target. Everyone turns against her.
After this, her usual comforts of home and Uncle Frank do not help, although she pretends she is fine.
When her mother and Uncle Frank appear not to believe her story, she leaves the light room and chooses somewhere dark to hide and think.
This shows how everything has changed for her. She has lost her childhood world of innocence (light) and entered the cruel, dark 'real' world.
Back to Superman and Paula Brown's New Snowsuit index
Give your revision some visual style with a Bitesize revision map!
Get creative, get published and get expert writing advice at BBC Blast.


",4,BitGCSE,4,0.022644635289907455,0.033836666494607925,0.04031464084982872,0.2027074247598648,0.7004966735839844
5844,"Physical management of the coast attempts to control natural processes such as
the wearing away of rocks, soil or other solid materials
Longshore drift is a tide or current that flows along the coast, taking material with it.
Hard engineering options tend to be expensive, short-term options. They may also have a high impact on the landscape or environment and be unsustainable.
A wall built on the edge of the coastline
Protects the base of cliffs, land and buildings against erosion. Can prevent coastal flooding in some areas.
Expensive to build. Curved sea walls reflect the energy of the waves back to the sea. This means that the waves remain powerful. Over time the wall may begin to erode. The cost of maintenance is high.
A wooden barrier built at right angles to the beach
Prevents the movement of beach material along the coast by longshore drift.
Allows the build up of a beach. Beaches are a natural defence against erosion and an attraction for tourists.
Large boulders are piled up on the beach.
Allows the build up of a beach.
Can be expensive to obtain and transport the boulders.
Soft engineering options are often less expensive than hard engineering options. They are usually more long-term and
Sustainable means using something or doing something in a way that minimises damage to the environment and which avoids using up natural resources, eg by using renewable rather than scarce resources.
, with less impact on the environment.
There are two main types of soft engineering.
beach or cliff material that has been removed by erosion or longshore drift.
The main advantage is that beaches are a
against erosion and coastal flooding. Beaches also attract
It is a relatively inexpensive option but requires constant
to replace the beach material as it is washed away.
Areas of the coast are allowed to
naturally. Usually this will be areas considered to be of
- eg places not being used for housing or farmland.
The advantages are that it encourages the development of
(important for the environment) and cost is low.
Managed retreat is a cheap option, but people will need to be
Back to Coastal landscapes and processes index
Deliver key Geographic sound bites direct to your ear!
Explore the UK's coastline with the BBC.


",4,BitGCSE,4,0.012513627298176289,0.011489102616906166,0.013880638405680656,0.0921519547700882,0.8699646592140198
2905,"The world around us: Around the town
The world around us: Around the town
Sometimes the instructions on the reading exam are in English - but be careful,they may not be as straightforward as they seem!
Read each situation carefully and think about what you actually need to know.
Read every choice all the way through. There might be a word or part of a word that you recognise.
Don't jump to conclusions! Sometimes a word like 'Oficina' can be used in a way that it isn't in English.
Don't panic if you don't know what a word means. Look through all the choices and eliminate the ones you know aren't the right answer.
Be careful! Sometimes the question tries to mislead you by offering you information you don't need.
Don't just read it, practise your Spanish with downloadable audio bites.
Get some direction with a Bitesize revision map
Real Spanish, real drama from BBC languages.


",4,BitGCSE,4,0.010013113729655743,0.01036006398499012,0.012910442426800728,0.10625860840082169,0.8604577779769897
3327,"The easiest way to represent covalent bonds is by using straight lines, with each line representing a shared pair of electrons. These 2-D molecular diagrams show which atoms are joined by covalent bonds, but do not show the shape of each molecule. It is possible to draw more complex 3-D diagrams to show the true shape of each molecule.
Below are some examples of 2-D and 3-D models:
, meaning they have two shared pairs of electrons. Others have a
, meaning they have three shared pairs of electrons. A double covalent bond is shown by a double line, and a triple bond by a triple line.
) consists of two oxygen atoms held together by a double bond, like this:
) has two nitrogen atoms held together by a triple bond, like this:
Read on if you are taking the
Put down that pen and listen to some additional Science audio.


",4,BitGCSE,4,0.010900357738137245,0.010644348338246346,0.013202905654907227,0.19193030893802643,0.7733220458030701
